dgp_name,n_obs,n_covariates,n_folds,mean_mae,mean_rmse,mean_coverage,mean_se_ratio,mean_nuisance_r2_y,mean_nuisance_r2_d,n_scenarios
dense_linear_independent,500,50,5,0.1369466927202717,0.1471193366498733,0.2,0.8068195707648699,0.3847245833129553,0.3084997416661,1
dense_linear_independent,500,50,10,0.1469755007168056,0.1515627968425113,0.0,1.1846929485916735,0.4093465841134758,0.3270313743125502,1
dense_linear_independent,500,100,2,0.209793537710121,0.212769632794226,0.0,1.2293555830698513,0.2919564297960506,0.2259892114018917,1
dense_linear_independent,500,100,5,0.1995427797436088,0.2024392445811307,0.0,1.2804688521764604,0.3276371560811638,0.2602661467406542,1
dense_linear_independent,500,100,10,0.169446907698277,0.1719228229144969,0.0,1.4906252173585433,0.326115690976372,0.2498558293228729,1
dense_linear_independent,500,150,2,0.2129228032703791,0.2161653887621034,0.0,1.111583390814994,0.2299757116411632,0.169008763645919,1
dense_linear_independent,500,150,5,0.203100479005337,0.2069967594078194,0.0,1.0502528100845423,0.261019526214327,0.2080719087585552,1
dense_linear_independent,500,150,10,0.2064263165851065,0.2072854797672348,0.0,2.324570660647624,0.2608515057440571,0.1989915619436563,1
dense_linear_independent,500,300,2,0.2380311927520479,0.2448723668928231,0.0,0.7222282733051346,0.1706407367165857,0.1294960264905141,1
dense_linear_independent,500,300,5,0.2133729647026036,0.2168767932331011,0.0,1.0833099281624736,0.2020168339423713,0.1426163311832158,1
dense_linear_independent,500,300,10,0.2272092322857748,0.2285270018396085,0.0,1.7488830883010138,0.1977378055714837,0.1481583206110944,1
dense_linear_independent,1000,25,2,0.0829707506411673,0.0842852725717799,0.1,2.09332339539816,0.5238851440442973,0.4091107894962543,1
dense_linear_independent,1000,25,5,0.0761015693545314,0.0852582050527757,0.4,0.8027405690420373,0.549025546639822,0.4537420247157997,1
dense_linear_independent,1000,25,10,0.0643149203729748,0.0746663145061554,0.5,0.7955861868142986,0.5479588416844521,0.437308814610865,1
dense_linear_independent,1000,50,2,0.1350463324392351,0.1379446175531069,0.0,1.1261862175193644,0.4351444256128792,0.3517614554369567,1
dense_linear_independent,1000,50,5,0.1097131560194069,0.1132079793479554,0.0,1.1110986194830843,0.4642900261933693,0.3778870925661279,1
dense_linear_independent,1000,50,10,0.1235219099160595,0.1270206647142917,0.0,1.0411232287401428,0.4786879888114471,0.3860866068883865,1
dense_linear_independent,1000,100,2,0.1787210793409225,0.1800128601869991,0.0,1.412430459951392,0.3529473741702427,0.2783401098725989,1
dense_linear_independent,1000,100,5,0.1649969084608406,0.1654209753523124,0.0,2.653545823924892,0.3885403635934489,0.3062504966072609,1
dense_linear_independent,1000,100,10,0.1557493813563719,0.1570804812677976,0.0,1.510625576412601,0.390290876282577,0.3138794364642894,1
dense_linear_independent,1000,150,2,0.2002235554572599,0.2010539817256029,0.0,1.700675016683291,0.282610933123493,0.2253892371378685,1
dense_linear_independent,1000,150,5,0.1735434469984348,0.1754327791103422,0.0,1.1597004228830248,0.341198702521048,0.2663701381563248,1
dense_linear_independent,1000,150,10,0.1700634777829278,0.1715594937097526,0.0,1.3734398826318974,0.3448439221049088,0.2648333346767128,1
dense_linear_independent,1000,300,2,0.2400490018537771,0.2408066069457757,0.0,1.5750564104259033,0.2118120988665419,0.1637834818820651,1
dense_linear_independent,1000,300,5,0.2131855358344511,0.2173080532902433,0.0,0.7170131478403651,0.2641340180278331,0.2085277024397639,1
dense_linear_independent,1000,300,10,0.1792703997076514,0.1806107929631472,0.0,1.3794457788845866,0.2589363529599334,0.198423108134987,1
sparse_linear_correlated,250,25,2,0.1625468498175425,0.1698659479449521,0.3,1.180876647357735,0.4824843790929031,0.5399026534327664,1
sparse_linear_correlated,250,25,5,0.1427813435516415,0.1530328926562962,0.2,0.9632875047265438,0.5179303818405844,0.5654393094627761,1
sparse_linear_correlated,250,25,10,0.1168545997602283,0.1283186216409084,0.5,0.9549279447557136,0.529159346122454,0.5716639677183885,1
sparse_linear_correlated,250,50,2,0.1962216211093978,0.2022808333462616,0.0,1.089909487562683,0.3985379490330308,0.4485899401926858,1
sparse_linear_correlated,250,50,5,0.1495174872433687,0.1526631047909042,0.2,1.7735225604542997,0.4724102097165684,0.5028342090917313,1
sparse_linear_correlated,250,50,10,0.1525103411125963,0.1587013996141653,0.2,1.1877670400817346,0.4438013754602036,0.493682314907499,1
sparse_linear_correlated,250,100,2,0.2048342140314455,0.2087635051174152,0.0,1.2122238539794985,0.3125737739711777,0.3647640450175756,1
sparse_linear_correlated,250,100,5,0.1956532820355251,0.2016076601913471,0.0,1.0583870753994264,0.3649392151433061,0.4187012986142296,1
sparse_linear_correlated,250,100,10,0.1992310868327881,0.1996717281892593,0.0,3.928208468661673,0.3784518389874632,0.4235567999068873,1
sparse_linear_correlated,250,150,2,0.2079288797781148,0.2116206079772425,0.0,1.165910800647143,0.2652971846865909,0.3008882534889169,1
sparse_linear_correlated,250,150,5,0.2019469518443578,0.2091116150282933,0.1,0.8980334525272512,0.3049603463901565,0.3479026791727565,1
sparse_linear_correlated,250,150,10,0.1929586925681604,0.1969448890566368,0.0,1.2424726799512715,0.3107834233028693,0.3494226485440856,1
sparse_linear_correlated,250,300,2,0.2289069472937754,0.2318258783019283,0.0,1.18288664674948,0.1910550093894842,0.2312681403081699,1
sparse_linear_correlated,250,300,5,0.242940778629053,0.2479863303843434,0.0,0.9321220203386604,0.2355602650734853,0.2744667778852335,1
