scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,coverage,coverage_gap,absolute_coverage_gap,se_ratio,mae,rmse
sparse_linear_independent_n1000_p150_k10_random_forest,sparse_linear_independent,random_forest,1000,150,10,0.1666666666666665,0.0,-0.95,0.95,1.1853995125470118,0.189671488382682,0.1913919304730671
sparse_linear_independent_n1000_p300_k2_random_forest,sparse_linear_independent,random_forest,1000,300,2,0.5999999999999999,0.0,-0.95,0.95,0.8794390372879998,0.2289970538714888,0.2316361926649827
sparse_linear_independent_n1000_p300_k5_random_forest,sparse_linear_independent,random_forest,1000,300,5,0.375,0.0,-0.95,0.95,1.0471358709627998,0.2175941478738386,0.2195482357005334
sparse_linear_independent_n1000_p300_k10_random_forest,sparse_linear_independent,random_forest,1000,300,10,0.3333333333333333,0.0,-0.95,0.95,1.0606351450179927,0.2271522714318767,0.2289040728529457
sparse_linear_correlated_n250_p50_k2_random_forest,sparse_linear_correlated,random_forest,250,50,2,0.4,0.0,-0.95,0.95,1.089909487562683,0.1962216211093978,0.2022808333462616
sparse_linear_correlated_n250_p100_k2_random_forest,sparse_linear_correlated,random_forest,250,100,2,0.8,0.0,-0.95,0.95,1.2122238539794985,0.2048342140314455,0.2087635051174152
sparse_linear_correlated_n250_p100_k5_random_forest,sparse_linear_correlated,random_forest,250,100,5,0.5,0.0,-0.95,0.95,1.0583870753994264,0.1956532820355251,0.2016076601913471
sparse_linear_correlated_n250_p100_k10_random_forest,sparse_linear_correlated,random_forest,250,100,10,0.4444444444444445,0.0,-0.95,0.95,3.928208468661673,0.1992310868327881,0.1996717281892593
sparse_linear_correlated_n250_p150_k2_random_forest,sparse_linear_correlated,random_forest,250,150,2,1.1999999999999995,0.0,-0.95,0.95,1.165910800647143,0.2079288797781148,0.2116206079772425
sparse_linear_correlated_n250_p150_k10_random_forest,sparse_linear_correlated,random_forest,250,150,10,0.6666666666666667,0.0,-0.95,0.95,1.2424726799512715,0.1929586925681604,0.1969448890566368
sparse_linear_correlated_n250_p300_k2_random_forest,sparse_linear_correlated,random_forest,250,300,2,2.3999999999999995,0.0,-0.95,0.95,1.18288664674948,0.2289069472937754,0.2318258783019283
sparse_linear_correlated_n250_p300_k5_random_forest,sparse_linear_correlated,random_forest,250,300,5,1.5,0.0,-0.95,0.95,0.9321220203386604,0.242940778629053,0.2479863303843434
sparse_linear_correlated_n250_p300_k10_random_forest,sparse_linear_correlated,random_forest,250,300,10,1.3333333333333337,0.0,-0.95,0.95,1.087394223865254,0.2083698236344124,0.2129798765810784
sparse_linear_correlated_n500_p25_k2_random_forest,sparse_linear_correlated,random_forest,500,25,2,0.1,0.0,-0.95,0.95,1.2486032323665757,0.1248619033648649,0.1290297246308954
sparse_linear_correlated_n500_p50_k2_random_forest,sparse_linear_correlated,random_forest,500,50,2,0.2,0.0,-0.95,0.95,1.21787378872893,0.178309934017328,0.181358511983315
sparse_linear_correlated_n500_p50_k5_random_forest,sparse_linear_correlated,random_forest,500,50,5,0.125,0.0,-0.95,0.95,1.253921797667043,0.1398101065722636,0.1433221844271555
sparse_linear_correlated_n500_p50_k10_random_forest,sparse_linear_correlated,random_forest,500,50,10,0.1111111111111111,0.0,-0.95,0.95,1.4954046356570685,0.1579777193976837,0.160340986012008
sparse_linear_correlated_n500_p100_k2_random_forest,sparse_linear_correlated,random_forest,500,100,2,0.4,0.0,-0.95,0.95,1.3622310632692638,0.1771856327271927,0.1792882355319814
sparse_linear_correlated_n500_p100_k5_random_forest,sparse_linear_correlated,random_forest,500,100,5,0.25,0.0,-0.95,0.95,1.039741951940046,0.1815204598869428,0.1853616161403753
sparse_linear_correlated_n500_p100_k10_random_forest,sparse_linear_correlated,random_forest,500,100,10,0.2222222222222222,0.0,-0.95,0.95,0.8611802027675319,0.1554064363968375,0.1622756990767249
sparse_linear_correlated_n500_p150_k2_random_forest,sparse_linear_correlated,random_forest,500,150,2,0.5999999999999999,0.0,-0.95,0.95,0.7904778088034253,0.1971489804534239,0.2021329742748069
sparse_linear_correlated_n500_p150_k5_random_forest,sparse_linear_correlated,random_forest,500,150,5,0.375,0.0,-0.95,0.95,1.193197893199056,0.1986319036688323,0.2010271361756239
sparse_linear_correlated_n500_p150_k10_random_forest,sparse_linear_correlated,random_forest,500,150,10,0.3333333333333333,0.0,-0.95,0.95,1.2437389964125063,0.1679103061344761,0.1703878116948083
sparse_linear_correlated_n500_p300_k2_random_forest,sparse_linear_correlated,random_forest,500,300,2,1.1999999999999995,0.0,-0.95,0.95,0.9912543935876236,0.1987789242393127,0.2015561417518444
sparse_linear_correlated_n500_p300_k5_random_forest,sparse_linear_correlated,random_forest,500,300,5,0.75,0.0,-0.95,0.95,1.0149685275642963,0.2075978809997246,0.2103602523479082
sparse_linear_correlated_n500_p300_k10_random_forest,sparse_linear_correlated,random_forest,500,300,10,0.6666666666666667,0.0,-0.95,0.95,1.1430761282016657,0.2049834676867989,0.2072513289599431
