scenario_id,scenario_name,n,p,n_obs,n_covariates,n_folds,dgp_name,learner_name,n_rep,matched_specification,bias,median_bias,mae,rmse,coverage,ci_length,mean_ci_length,empirical_sd,mean_se,se_ratio,variance_ratio,non_convergence_rate,n_replications_total,n_replications_success,n_replications_failed,t_stat_mean,t_stat_sd,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
558,step_confounding_n500_p300_k2_random_forest,500,300,500,300,2,step_confounding,random_forest,10,False,0.38054367054891897,0.3886479214792893,0.38054367054891897,0.38147917620968946,0.0,0.14271415125573544,0.14271415125573544,0.028144008377137368,0.03640667123870798,1.293585147888271,0.7730453628293912,0.0,10,10,0,10.453894594038943,0.6351596440631601,250.0,250.0,1.1999999999999997,1.2,2.8446023772802657e+18,1.9197111164690346e+19,-1.2206493645173654e-15,-1.3572842518901134e-15,0.0,18.262435926139766,6.714087510944063,0.2829170650198115,0.23033164953620702
578,step_confounding_n500_p300_k5_random_forest,500,300,500,300,5,step_confounding,random_forest,10,False,0.37601753650952097,0.37154353223112735,0.37601753650952097,0.37793837052282075,0.0,0.14192561229521727,0.14192561229521727,0.04011406169019104,0.036205513340616606,0.9025641337503806,1.1079545071714172,0.0,10,10,0,10.411624801748747,1.3414305039040448,400.0,100.0,0.75,0.75,176.7137239086174,239.152194086838,0.01951975660016168,0.0141248905947222,0.0,17.22438282975337,6.33971905073814,0.3275567419234167,0.27588652310422074
598,step_confounding_n500_p300_k10_random_forest,500,300,500,300,10,step_confounding,random_forest,10,False,0.3705849905470005,0.37154314999915095,0.3705849905470005,0.3710986534825367,0.0,0.14627972004635637,0.14627972004635637,0.020574401512326194,0.037316255113866395,1.8137225081133028,0.5513522578711529,0.0,10,10,0,9.943616036370566,0.5444008485787908,450.0,50.0,0.6666666666666667,0.6666666666666666,90.62762401169616,111.96988964721928,0.035814293313654294,0.0301716467346569,0.0,16.868023454413752,6.143789402411343,0.3489693591361903,0.29819848980360003
618,step_confounding_n1000_p25_k2_random_forest,1000,25,1000,25,2,step_confounding,random_forest,10,False,0.12795395592953948,0.13066928112714415,0.12795395592953948,0.13273141836744645,0.0,0.11154646925086835,0.11154646925086835,0.03719938147358496,0.02845573195175209,0.7649517498552582,1.3072719948535536,0.0,10,10,0,4.468702141248288,1.1508524678800265,500.0,500.0,0.05,0.05,2.2593392125504552,2.391474574489627,0.6325343813288183,0.5949945719040132,0.0,6.333214556225193,2.9723811228829136,0.7514852742479924,0.6610384139400954
638,step_confounding_n1000_p25_k5_random_forest,1000,25,1000,25,5,step_confounding,random_forest,10,False,0.09122704207226592,0.09273515491941475,0.09122704207226592,0.09290034462924228,0.0,0.1111736008560856,0.1111736008560856,0.018502276946275372,0.02836061246328712,1.5328174227224662,0.652393419578883,0.0,10,10,0,3.2171730167082955,0.6508264898992311,800.0,200.0,0.03125,0.03125,1.9266852649403288,2.1352046292395124,0.6932532349989021,0.6179226595677165,0.0,5.324374389794112,2.584177712239499,0.7886463524767906,0.6941195841122634
658,step_confounding_n1000_p25_k10_random_forest,1000,25,1000,25,10,step_confounding,random_forest,10,False,0.09329595871736596,0.08945950602604047,0.09329595871736596,0.0989949508952558,0.2,0.11389033695238393,0.11389033695238393,0.03489451389165882,0.02905365738581222,0.8326139024609597,1.2010368756086063,0.0,10,10,0,3.2103804886010368,1.1827364430849565,900.0,100.0,0.0277777777777777,0.0277777777777777,1.8521555003221248,2.0123669427738573,0.7190877263467489,0.6558401926957798,0.0,5.185952529385316,2.5103001711487836,0.791922835113301,0.7063319824459612
678,step_confounding_n1000_p50_k2_random_forest,1000,50,1000,50,2,step_confounding,random_forest,10,False,0.22121902679016997,0.21760219456097085,0.22121902679016997,0.22237191636199205,0.0,0.10679598863655526,0.10679598863655526,0.023837677285126577,0.02724387465218243,1.1428913281404787,0.8749738276753158,0.0,10,10,0,8.117487820517209,0.7857373930796078,500.0,500.0,0.1,0.1,3.4736345416367898,3.821095199908696,0.48670486200110197,0.4484120810441209,0.0,8.88083117144859,3.798094738408288,0.6544980883235952,0.5714877010846984
698,step_confounding_n1000_p50_k5_random_forest,1000,50,1000,50,5,step_confounding,random_forest,10,False,0.20151509389314973,0.2015083096625151,0.20151509389314973,0.20311507259420625,0.0,0.10953748556753792,0.10953748556753792,0.026820382965712295,0.027943236114167807,1.0418656642558382,0.9598166388507091,0.0,10,10,0,7.217738225050866,0.9578963307602447,800.0,200.0,0.0625,0.0625,2.6446922766018464,2.807900620966033,0.5768230966452724,0.5423056892278512,0.0,7.8449430451046895,3.411250547923769,0.6947602864689872,0.6096919004050825
718,step_confounding_n1000_p50_k10_random_forest,1000,50,1000,50,10,step_confounding,random_forest,10,False,0.18627149999952136,0.1841225967103134,0.18627149999952136,0.18679124936899713,0.0,0.10999904974652486,0.10999904974652486,0.014677992928159378,0.02806098207819509,1.911772421170797,0.5230748121094798,0.0,10,10,0,6.650196169872016,0.5902576728612156,900.0,100.0,0.05555555555555549,0.0555555555555555,2.5002717983179696,2.6705027468028657,0.5948501762974647,0.55506647007804,0.0,7.508079053412773,3.3296035172317104,0.7074042214875051,0.6179187759874469
738,step_confounding_n1000_p100_k2_random_forest,1000,100,1000,100,2,step_confounding,random_forest,10,False,0.2874486446161029,0.2840066558008679,0.2874486446161029,0.28814999095904875,0.0,0.10740653557682647,0.10740653557682647,0.02117897274985601,0.02739962642265977,1.293718385035745,0.7729657486257107,0.0,10,10,0,10.488109455812108,0.570947184124183,500.0,500.0,0.2,0.2,6.42736814994971,7.088474154393647,0.318271834863049,0.2934576672693524,0.0,11.565877407374643,4.599018916985633,0.5399777568009068,0.46087890721702607
