scenario_id,scenario_name,replication,dgp_name,learner_name,n,p,n_obs,n_covariates,n_folds,theta_true,theta_0,data_seed,split_seed,learner_g_seed,learner_m_seed,learner_y,learner_d,theta_hat,se,t_stat,ci_lower,ci_upper,ci_length,covered,error,squared_error,failed,failure_reason,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
428,quadratic_confounding_n500_p100_k2_random_forest,7,quadratic_confounding,random_forest,500,100,500,100,2,1.0,1.0,2637173743,3891945035,14059462,2944596720,RandomForestLearner,RandomForestLearner,1.4154584908496513,0.06951699714387219,5.976358414760343,1.2792051764476617,1.5517118052516408,0.272506628803979,False,0.41545849084965125,0.17260575761906977,False,,250.0,250.0,0.4,0.4,20.86980571103461,21.94422239708627,0.12747203308977018,0.12254831041025367,0.0,9.919493016456247,3.3561988545700565,0.19011811013263358,0.1528149880870372
428,quadratic_confounding_n500_p100_k2_random_forest,8,quadratic_confounding,random_forest,500,100,500,100,2,1.0,1.0,2347605408,34893403,2111054323,2781127165,RandomForestLearner,RandomForestLearner,1.3886426950815438,0.07168757537358603,5.421339654134027,1.2481350473493151,1.5291503428137725,0.28101529546445736,False,0.3886426950815438,0.15104314444024583,False,,250.0,250.0,0.4,0.4,16.46315465656422,16.979108625913437,0.15636674894398406,0.15446943996554258,0.0,10.069968953693651,3.491539625214161,0.17457697346157958,0.12592803135826053
428,quadratic_confounding_n500_p100_k2_random_forest,9,quadratic_confounding,random_forest,500,100,500,100,2,1.0,1.0,544534802,1062290015,864391805,465904015,RandomForestLearner,RandomForestLearner,1.255308011107403,0.061481018823063525,4.152631429907742,1.1348052142141987,1.3758108080006075,0.24100559378640884,False,0.2553080111074031,0.06518218053561786,False,,250.0,250.0,0.4,0.4,17.535410613823423,17.817065811542328,0.1479751135904437,0.13812864780930675,0.0,8.057633986882841,3.133430164250668,0.1780549276331041,0.15394707064459812
429,quadratic_confounding_n500_p100_k2_gradient_boosting,0,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,4080577404,3894269897,914571304,1444658034,GradientBoostingLearner,GradientBoostingLearner,1.0573311747187677,0.0676063521141571,0.8480146158745677,0.9248227245750198,1.1898396248625156,0.2650169002874958,True,0.0573311747187677,0.0032868635946338683,False,,250.0,250.0,0.4,0.4,19.098620995084296,20.941794002467798,0.1379481058693619,0.13185509306618545,0.0,5.555572066981415,2.286747407603641,0.5251992769075685,0.434412950775518
429,quadratic_confounding_n500_p100_k2_gradient_boosting,1,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,3611688006,2402834218,3533184653,258211716,GradientBoostingLearner,GradientBoostingLearner,1.1137800046158184,0.07500915956252217,1.5168814752680926,0.9667620518732749,1.2607979573583619,0.29403590548508696,True,0.11378000461581839,0.012945889450375654,False,,250.0,250.0,0.4,0.4,17.0067221684606,18.03879777076156,0.15445522089520264,0.14928435863853226,0.0,7.2740410767355765,3.294469377879004,0.44880841240171104,0.32037574770930155
429,quadratic_confounding_n500_p100_k2_gradient_boosting,2,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,1071011328,411841330,447532671,751747747,GradientBoostingLearner,GradientBoostingLearner,1.0356533203555263,0.062226731252134605,0.5729582711176593,0.9136889271013424,1.15761771360971,0.2439287865083677,True,0.03565332035552626,0.0012711592523737833,False,,250.0,250.0,0.4,0.4,17.771891688203382,18.092020409862805,0.14989382998883277,0.1494746871109769,0.0,5.478929094275543,2.382478355539663,0.47754039580257834,0.36244014773095723
429,quadratic_confounding_n500_p100_k2_gradient_boosting,3,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,3404854473,543860794,3337947582,2086206125,GradientBoostingLearner,GradientBoostingLearner,1.0273550270416922,0.06317639178558083,0.43299445043544976,0.9035292991419538,1.1511807549414306,0.24765145579947678,True,0.027355027041692237,0.0007482975044517136,False,,250.0,250.0,0.4,0.4,17.878410548271884,19.03397646882265,0.13991319656784015,0.1283833043508147,0.0,4.652118741034364,2.106478853161545,0.5591014863753743,0.43124418946970183
429,quadratic_confounding_n500_p100_k2_gradient_boosting,4,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,239203991,4222274180,1929709533,2906253076,GradientBoostingLearner,GradientBoostingLearner,1.2362004259758939,0.09993901727923776,2.3634455531609904,1.0403199521085877,1.4320808998432,0.39176094773461223,False,0.23620042597589386,0.05579064123119371,False,,250.0,250.0,0.4,0.4,19.379981640920157,20.5857478379427,0.13569926528169268,0.1303635834944756,0.0,8.19245422553606,3.0813405306595025,0.46387010525908956,0.3522643337810647
429,quadratic_confounding_n500_p100_k2_gradient_boosting,5,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,187072149,3730334053,1698611904,3559239021,GradientBoostingLearner,GradientBoostingLearner,1.1541016295303714,0.07903758818386251,1.949725859193602,0.9991879566900009,1.309015302370742,0.3098273456807411,True,0.15410162953037143,0.023747312223915844,False,,250.0,250.0,0.4,0.4,18.703998259115092,18.968622086641503,0.13874710484568653,0.13544310557931274,0.0,5.947357285782201,2.3683546974997682,0.5248975333176605,0.44794413999405114
429,quadratic_confounding_n500_p100_k2_gradient_boosting,6,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,2479011249,2694349576,1672854732,1830038595,GradientBoostingLearner,GradientBoostingLearner,1.2608181464563237,0.13926297605806998,1.872846278594302,0.9878627133825066,1.5337735795301408,0.5459108661476342,True,0.26081814645632373,0.06802610552091233,False,,250.0,250.0,0.4,0.4,18.86342889974716,20.00478376496979,0.13771699708355212,0.13159794727598137,0.0,8.646116480817968,3.388367925540739,0.42533659112382577,0.2981497738840011
429,quadratic_confounding_n500_p100_k2_gradient_boosting,7,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,1257188227,1649428140,3436927521,3816880744,GradientBoostingLearner,GradientBoostingLearner,1.1408466672979347,0.090394287242326,1.5581368203098682,0.9636738643029757,1.3180194702928936,0.3543456059899178,True,0.1408466672979347,0.01983778368893511,False,,250.0,250.0,0.4,0.4,18.447308123236333,18.96384923380463,0.13782137792075458,0.13635683462459852,0.0,7.157389004707685,3.0654465456276947,0.45916048326203474,0.34235123150168517
429,quadratic_confounding_n500_p100_k2_gradient_boosting,8,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,3810200798,30098576,1061949895,4072611425,GradientBoostingLearner,GradientBoostingLearner,1.0494877681306995,0.0580898415272784,0.8519177678847789,0.9356316787372339,1.1633438575241652,0.2277121787869314,True,0.04948776813069955,0.002449039194557882,False,,250.0,250.0,0.4,0.4,18.024287642992125,18.407410849313653,0.14150467715698595,0.13518564511179182,0.0,4.979744765712076,2.1538454662961577,0.459753016710085,0.39373943407738266
429,quadratic_confounding_n500_p100_k2_gradient_boosting,9,quadratic_confounding,gradient_boosting,500,100,500,100,2,1.0,1.0,2373835140,1094312823,2161065292,4138525665,GradientBoostingLearner,GradientBoostingLearner,1.11514085829342,0.06633469615153875,1.7357561724619284,0.9851248538364039,1.245156862750436,0.260032008914032,True,0.11514085829341991,0.013257417248545405,False,,250.0,250.0,0.4,0.4,18.62090412575283,19.466149319188347,0.1407064099019261,0.13668136783188164,0.0,5.713710575864928,2.460719407530914,0.5380963698545488,0.4587888663795109
430,interaction_confounding_n500_p100_k2_ols,0,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,2641541985,3533602103,222715551,1583397015,OLSLearner,OLSLearner,1.2195906536057706,0.041058874690062655,5.348189770503315,1.1391152592132479,1.3000660479982933,0.16095078878504543,False,0.21959065360577057,0.04822005515100952,False,,250.0,250.0,0.4,0.4,16.78999906408595,18.772511481686653,0.1568567576906513,0.1397349812046334,0.0,11.844246915039088,5.1680439478382425,-0.8295609767880687,-0.8789081114164455
430,interaction_confounding_n500_p100_k2_ols,1,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,2533938080,3116218106,733611432,1952167439,OLSLearner,OLSLearner,1.4001440839518695,0.041841122943266126,9.563416462183369,1.3181354829830678,1.4821526849206712,0.16401720193760339,False,0.4001440839518695,0.16011528792168078,False,,250.0,250.0,0.4,0.4,18.028542911189156,18.140476174578797,0.14080593917600615,0.14046567848225405,0.0,11.910123850617179,4.181372504072545,-0.8376129174156577,-0.8222688669044889
430,interaction_confounding_n500_p100_k2_ols,2,interaction_confounding,ols,500,100,500,100,2,1.0,1.0,1746640550,1559394742,1194259673,4242173467,OLSLearner,OLSLearner,1.3367988827458965,0.03886463683935151,8.665946992842564,1.2606241945407675,1.4129735709510256,0.15234937641025814,False,0.33679888274589653,0.11343348741888416,False,,250.0,250.0,0.4,0.4,16.513113631146663,16.55799999792605,0.15395431630588813,0.14960517386110128,0.0,12.832659608929484,5.168399346496535,-1.0364027125437782,-1.0629668930740985
